,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Drew Brees, NO",@Ari,38.00,48,37,389,4,0,0,2,-2,0,0,0,0,0,0,1,0
1,"Matt Moore, Mia",@NYJ,31.00,18,12,236,4,1,0,0,0,0,0,0,0,0,0,0,0
2,"Russell Wilson, Sea",LA,26.00,26,19,229,3,1,0,6,12,0,0,0,0,0,0,0,0
3,"Carson Palmer, Ari",NO,24.00,40,28,318,2,0,0,0,0,0,0,0,0,0,0,0,0
4,"Cam Newton, Car",@Was,24.00,37,21,300,2,0,0,3,0,0,0,0,0,0,0,0,0
5,"Matt Ryan, Atl",SF,23.00,23,17,286,2,0,0,1,-1,0,0,0,0,0,0,0,0
6,"Andrew Luck, Ind",@Min,22.00,28,21,250,2,0,0,1,8,0,0,0,0,0,0,0,0
7,"Colin Kaepernick, SF",@Atl,21.00,33,20,183,2,0,0,3,21,0,0,0,0,0,0,0,0
8,"Eli Manning, NYG",Det,20.00,28,20,201,2,0,0,0,0,0,0,0,0,0,0,0,0
9,"Dak Prescott, Dal",TB,19.00,36,32,279,0,0,0,4,20,1,0,0,0,0,0,0,0
10,"Matt Barkley, Chi",GB,19.00,43,30,362,2,3,0,0,0,0,0,0,0,0,0,1,0
11,"Philip Rivers, SD",Oak,18.00,30,17,206,2,1,0,0,0,0,0,0,0,0,0,0,0
12,"Ben Roethlisberger, Pit",@Cin,17.00,36,21,286,1,0,0,4,-5,0,0,0,0,0,0,0,0
13,"Robert Griffin III, Cle",@Buf,17.00,28,17,196,0,0,0,8,48,1,0,0,0,0,0,0,0
14,"Joe Flacco, Bal",Phi,17.00,30,16,206,2,1,0,1,-1,0,0,0,0,0,0,1,0
15,"Tyrod Taylor, Buf",Cle,16.00,24,17,174,1,0,0,7,49,0,0,0,0,0,0,0,0
16,"Jameis Winston, TB",@Dal,14.00,35,17,247,2,3,0,1,6,0,0,0,0,0,0,1,0
17,"Derek Carr, Oak",@SD,12.00,30,19,213,1,1,0,5,5,0,0,0,0,0,0,0,0
18,"Alex Smith, KC",Ten,11.00,28,15,163,0,1,0,4,11,1,0,0,0,0,0,0,0
19,"Aaron Rodgers, GB",@Chi,11.00,31,19,252,0,0,0,3,19,0,0,0,0,0,0,0,0
20,"Carson Wentz, Phi",@Bal,10.00,42,22,170,0,1,0,4,8,1,0,0,0,0,0,0,0
21,"Tom Savage, Hou",Jax,10.00,36,23,260,0,0,0,3,0,0,0,0,0,0,0,0,0
22,"Bryce Petty, NYJ",Mia,10.00,36,20,235,1,2,0,1,0,0,0,0,0,0,0,1,0
23,"Andy Dalton, Cin",Pit,10.00,27,16,157,0,1,0,1,1,1,0,0,0,0,0,0,0
24,"Kirk Cousins, Was",Car,10.00,47,32,315,0,1,0,2,11,0,0,0,0,0,0,1,0
25,"Matthew Stafford, Det",@NYG,9.00,39,24,273,0,1,0,2,13,0,0,0,0,0,0,0,0
26,"Trevor Siemian, Den",NE,9.00,40,25,282,0,1,0,1,4,0,0,0,0,0,0,0,0
27,"Sam Bradford, Min",Ind,8.00,42,32,291,0,1,0,0,0,0,0,0,0,0,0,1,0
28,"Tom Brady, NE",@Den,7.00,32,16,188,0,0,0,1,-1,0,0,0,0,0,0,0,0
29,"Blake Bortles, Jax",@Hou,7.00,28,12,92,0,1,0,2,-5,1,0,0,0,0,0,0,0
30,"Marcus Mariota, Ten",@KC,6.00,33,19,241,0,1,0,1,-2,0,0,0,0,0,0,1,0
31,"Jared Goff, LA",@Sea,5.00,25,13,135,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Case Keenum, LA",@Sea,1.00,9,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Matt Schaub, Atl",SF,0.00,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"E.J. Manuel, Buf",Cle,0.00,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
35,"Ryan Fitzpatrick, NYJ",Mia,0.00,10,5,31,0,1,0,2,11,0,0,0,0,0,0,0,0
36,"Brock Osweiler, Hou",Jax,-3.00,11,6,48,0,2,0,0,0,0,0,0,0,0,0,0,0
