,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Jamaal Charles, KC",Ten,27.00,0,0,0,0,0,0,13,77,0,0,4,40,2,0,0,0
1,"Matt Forte, Chi",NYJ,26.00,0,0,0,0,0,0,19,113,1,0,4,56,0,0,0,0
2,"Correll Buckhalter, Den",Hou,24.00,0,0,0,0,0,0,11,42,1,0,3,50,1,0,0,0
3,"Arian Foster, Hou",@Den,23.00,0,0,0,0,0,0,19,91,1,0,4,44,0,0,0,0
4,"Pierre Thomas, NO",@Atl,22.00,0,0,0,0,0,0,19,63,1,0,7,39,0,0,0,0
5,"John Kuhn, GB",NYG,22.00,0,0,0,0,0,0,6,22,2,0,2,7,1,0,0,0
6,"Danny Woodhead, NE",@Buf,21.00,0,0,0,0,0,0,13,93,1,0,3,32,0,0,0,0
7,"Adrian Peterson, Min",@Phi,18.00,0,0,0,0,0,0,22,118,1,0,1,11,0,0,1,0
8,"Ronnie Brown, Mia",Det,18.00,0,0,0,0,0,0,12,37,1,0,6,34,0,0,0,0
9,"LeGarrette Blount, TB",Sea,17.00,0,0,0,0,0,0,18,164,0,0,1,3,0,0,0,0
10,"Ryan Mathews, SD",@Cin,16.00,0,0,0,0,0,0,12,55,1,0,3,28,0,0,0,0
11,"Shonn Greene, NYJ",@Chi,16.00,0,0,0,0,0,0,12,70,1,0,2,14,0,0,0,0
12,"Rashard Mendenhall, Pit",Car,15.00,0,0,0,0,0,0,18,65,1,0,2,18,0,0,0,0
13,"Ryan Torain, Was",@Jax,14.00,0,0,0,0,0,0,20,65,1,0,2,4,0,0,0,0
14,"Steven Jackson, Stl",SF,14.00,0,0,0,0,0,0,24,48,1,0,3,19,0,0,0,0
15,"Jahvid Best, Det",@Mia,14.00,0,0,0,0,0,0,6,24,0,0,1,53,1,0,0,0
16,"Darren Sproles, SD",@Cin,13.00,0,0,0,0,0,0,3,8,0,0,8,55,0,0,0,0
17,"Bernard Scott, Cin",SD,12.00,0,0,0,0,0,0,11,50,1,0,1,-1,0,0,0,0
18,"LeSean McCoy, Phi",Min,12.00,0,0,0,0,0,0,13,44,0,0,4,41,0,0,0,0
19,"Ricky Williams, Mia",Det,11.00,0,0,0,0,0,0,14,71,0,0,2,21,0,0,0,0
20,"LaDainian Tomlinson, NYJ",@Chi,11.00,0,0,0,0,0,0,13,28,1,0,2,14,0,0,0,0
21,"Maurice Morris, Det",@Mia,11.00,0,0,0,0,0,0,12,22,1,0,2,13,0,0,0,0
22,"Darren McFadden, Oak",Ind,11.00,0,0,0,0,0,0,11,45,0,0,4,31,0,0,0,0
23,"Fred Jackson, Buf",NE,11.00,0,0,0,0,0,0,13,81,0,0,2,11,0,0,0,0
24,"BenJarvus Green-Ellis, NE",@Buf,11.00,0,0,0,0,0,0,19,104,0,0,1,3,0,0,0,0
25,"Ahmad Bradshaw, NYG",@GB,11.00,0,0,0,0,0,0,12,31,0,0,5,41,0,0,1,0
26,"Marion Barber, Dal",@Ari,11.00,0,0,0,0,0,0,8,58,1,0,0,0,0,0,0,0
27,"Joseph Addai, Ind",@Oak,11.00,0,0,0,0,0,0,12,45,1,0,1,6,0,0,0,0
28,"Ray Rice, Bal",@Cle,10.00,0,0,0,0,0,0,25,92,0,0,1,0,0,0,0,0
29,"Dominic Rhodes, Ind",@Oak,9.00,0,0,0,0,0,0,17,98,0,0,0,0,0,0,0,0
30,"Felix Jones, Dal",@Ari,9.00,0,0,0,0,0,0,16,77,0,0,1,11,0,0,0,0
