,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Joel Dreessen, Hou",Oak,22.00,0,0,0,0,0,0,0,0,0,0,5,112,1,0,0,0
1,"Jimmy Graham, NO",@Car,20.00,0,0,0,0,0,0,0,0,0,0,8,129,0,0,0,0
2,"Vernon Davis, SF",TB,18.00,0,0,0,0,0,0,1,-3,0,0,3,39,2,0,0,0
3,"Jake Ballard, NYG",Sea,16.00,0,0,0,0,0,0,0,0,0,0,3,72,1,0,0,0
4,"Owen Daniels, Hou",Oak,15.00,0,0,0,0,0,0,0,0,0,0,7,89,0,0,0,0
5,"Brandon Pettigrew, Det",Chi,13.00,0,0,0,0,0,0,0,0,0,0,4,39,1,0,0,0
6,"Heath Miller, Pit",Ten,13.00,0,0,0,0,0,0,0,0,0,0,3,46,1,0,0,0
7,"Jermaine Gresham, Cin",@Jax,13.00,0,0,0,0,0,0,0,0,0,0,5,21,1,0,0,0
8,"Tony Gonzalez, Atl",GB,12.00,0,0,0,0,0,0,0,0,0,0,6,60,0,0,0,0
9,"Delanie Walker, SF",TB,11.00,0,0,0,0,0,0,0,0,0,0,2,37,1,0,0,0
10,"Greg Olsen, Car",NO,11.00,0,0,0,0,0,0,0,0,0,0,3,21,1,0,0,0
11,"Kellen Davis, Chi",@Det,11.00,0,0,0,0,0,0,0,0,0,0,3,25,1,0,0,0
12,"Kellen Winslow, TB",@SF,10.00,0,0,0,0,0,0,0,0,0,0,5,54,0,0,0,0
13,"Aaron Hernandez, NE",NYJ,10.00,0,0,0,0,0,0,0,0,0,0,5,56,0,0,0,0
14,"Jermichael Finley, GB",@Atl,10.00,0,0,0,0,0,0,0,0,0,0,4,67,0,0,0,0
15,"Jared Cook, Ten",@Pit,9.00,0,0,0,0,0,0,0,0,0,0,4,59,0,0,0,0
16,"Jeff King, Ari",@Min,8.00,0,0,0,0,0,0,0,0,0,0,5,35,0,0,0,0
17,"David Johnson, Pit",Ten,8.00,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0
18,"Rob Gronkowski, NE",NYJ,7.00,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
19,"Daniel Fells, Den",SD,7.00,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0
20,"Jed Collins, NO",@Car,7.00,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
21,"Randy McMichael, SD",@Den,6.00,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0
22,"Jeremy Shockey, Car",NO,5.00,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
23,"Rob Housler, Ari",@Min,5.00,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
24,"Kory Sperry, SD",@Den,4.00,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0
25,"Visanthe Shiancoe, Min",Ari,3.00,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
26,"Anthony McCoy, Sea",@NYG,3.00,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
27,"Tony Scheffler, Det",Chi,2.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
28,"Dante Rosario, Den",SD,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
29,"Leonard Pope, KC",@Ind,2.00,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
30,"Bear Pascoe, NYG",Sea,2.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
31,"Tom Crabtree, GB",@Atl,2.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
32,"D.J. Williams, GB",@Atl,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
33,"Matt Spaeth, Chi",@Det,1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
34,"Matthew Mulligan, NYJ",@NE,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
35,"Marcedes Lewis, Jax",Cin,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
36,"Dustin Keller, NYJ",@NE,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
37,"Will Heller, Det",Chi,1.00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
38,"Clay Harbor, Phi",@Buf,1.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
39,"Dallas Clark, Ind",KC,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
40,"Scott Chandler, Buf",Phi,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
41,"Brent Celek, Phi",@Buf,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
