,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Terrell Owens, Cin",Pit,36.00,0,0,0,0,0,0,0,0,0,0,10,141,2,0,0,0
1,"Seyi Ajirotutu, SD",@Hou,27.00,0,0,0,0,0,0,0,0,0,0,4,111,2,0,0,0
2,"James Jones, GB",Dal,26.00,0,0,0,0,0,0,0,0,0,0,8,123,1,0,0,0
3,"Stevie Johnson, Buf",Chi,25.00,0,0,0,0,0,0,0,0,0,0,11,145,0,0,0,0
4,"DeSean Jackson, Phi",Ind,25.00,0,0,0,0,0,0,3,20,0,0,7,109,1,0,0,0
5,"Hakeem Nicks, NYG",@Sea,24.00,0,0,0,0,0,0,0,0,0,0,6,128,1,0,0,0
6,"Nate Burleson, Det",NYJ,24.00,0,0,0,0,0,0,0,0,0,0,7,113,1,0,0,0
7,"Mike Wallace, Pit",@Cin,22.00,0,0,0,0,0,0,0,0,0,0,5,110,1,0,0,0
8,"Dez Bryant, Dal",@GB,22.00,0,0,0,0,0,0,0,0,0,0,9,86,1,0,1,0
9,"Greg Jennings, GB",Dal,21.00,0,0,0,0,0,0,0,0,0,0,7,80,1,0,0,0
10,"Percy Harvin, Min",Ari,20.00,0,0,0,0,0,0,0,0,0,0,9,126,0,0,1,0
11,"Jacoby Ford, Oak",KC,20.00,0,0,0,0,0,0,0,0,0,0,6,148,0,0,0,0
12,"Reggie Wayne, Ind",@Phi,19.00,0,0,0,0,0,0,0,0,0,0,11,83,0,0,0,0
13,"Roscoe Parrish, Buf",Chi,19.00,0,0,0,0,0,0,0,0,0,0,7,60,1,0,0,0
14,"Mike Williams, TB",@Atl,18.00,0,0,0,0,0,0,0,0,0,0,4,89,1,0,0,0
15,"Larry Fitzgerald, Ari",@Min,17.00,0,0,0,0,0,0,0,0,0,0,7,107,0,0,0,0
16,"Dwayne Bowe, KC",@Oak,17.00,0,0,0,0,0,0,0,0,0,0,5,63,1,0,0,0
17,"Bernard Berrian, Min",Ari,17.00,0,0,0,0,0,0,1,-8,0,0,9,89,0,0,0,0
18,"Santonio Holmes, NYJ",@Det,16.00,0,0,0,0,0,0,0,0,0,0,5,114,0,0,0,0
19,"Braylon Edwards, NYJ",@Det,15.00,0,0,0,0,0,0,0,0,0,0,3,78,1,0,1,0
20,"Earl Bennett, Chi",@Buf,15.00,0,0,0,0,0,0,1,5,0,0,4,52,1,0,0,0
21,"Steve Smith, NYG",@Sea,14.00,0,0,0,0,0,0,0,0,0,0,4,46,1,0,0,0
22,"Derrick Mason, Bal",Mia,14.00,0,0,0,0,0,0,0,0,0,0,4,42,1,0,0,0
23,"Marques Colston, NO",@Car,14.00,0,0,0,0,0,0,0,0,0,0,8,65,0,0,0,0
24,"Lance Moore, NO",@Car,13.00,0,0,0,0,0,0,0,0,0,0,6,77,0,0,0,0
25,"Brian Hartline, Mia",@Bal,12.00,0,0,0,0,0,0,0,0,0,0,4,85,0,0,0,0
26,"Andre Roberts, Ari",@Min,10.00,0,0,0,0,0,0,0,0,0,0,2,29,1,0,0,0
27,"Ben Obomanu, Sea",NYG,10.00,0,0,0,0,0,0,0,0,0,0,1,36,1,0,0,0
28,"Patrick Crayton, SD",@Hou,10.00,0,0,0,0,0,0,0,0,0,0,3,70,0,0,0,0
29,"Greg Camarillo, Min",Ari,10.00,0,0,0,0,0,0,0,0,0,0,4,66,0,0,0,0
30,"Davone Bess, Mia",@Bal,10.00,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
