Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,16847,David Johnson,RB,17,ARI,LAR,15,16,9800,24.5
2,11932,LeSean McCoy,RB,17,BUF,NYJ,26,20,8900,18.3
3,16524,Devonta Freeman,RB,17,ATL,NO,30,30,7000,18.1
4,12800,Bilal Powell,RB,17,NYJ,BUF,17,29,6500,16.1
5,13124,DeMarco Murray,RB,17,TEN,HOU,3,15,6300,15.2
6,18067,Jordan Howard,RB,17,CHI,MIN,6,7,6800,15
7,13299,Jacquizz Rodgers,RB,17,TB,CAR,27,12,4900,14.9
8,5820,Frank Gore,RB,17,IND,JAX,10,14,4700,14.3
9,6198,Darren Sproles,RB,17,PHI,DAL,11,1,4000,14.2
10,16855,Ty Montgomery,RB,17,GB,DET,19,18,5700,14.1
11,13337,Mark Ingram,RB,17,NO,ATL,29,22,5600,14.1
12,16771,Todd Gurley,RB,17,LAR,ARI,9,5,5300,13.8
13,16510,Jerick McKinnon,RB,17,MIN,CHI,18,11,4000,12.9
14,12296,LeGarrette Blount,RB,17,NE,MIA,24,17,5700,12.5
15,16909,Jay Ajayi,RB,17,MIA,NE,2,3,5900,12.4
16,15071,Latavius Murray,RB,17,OAK,DEN,1,21,5200,12.4
17,16834,Tevin Coleman,RB,17,ATL,NO,30,30,5100,11.9
18,18451,Rob Kelley,RB,17,WAS,NYG,5,9,4400,11.8
19,5451,Jonathan Stewart,RB,17,CAR,TB,20,24,5100,11.5
20,16127,Isaiah Crowell,RB,17,CLE,PIT,8,26,4400,11.5
21,7580,DeAngelo Williams,RB,17,PIT,CLE,31,31,5500,11.4
22,14046,Ronnie Hillman,RB,17,LAC,KC,12,18,3700,11.2
23,16189,Alfred Blue,RB,17,HOU,TEN,22,3,4300,11.1
24,17050,Thomas Rawls,RB,17,SEA,SF,32,32,5800,11
25,12708,Dion Lewis,RB,17,NE,MIA,24,17,4000,10.7
26,16699,Fitzgerald Toussaint,RB,17,PIT,CLE,31,31,4300,10.5
27,8066,Darren McFadden,RB,17,DAL,PHI,14,13,4300,10.5
28,14917,Rex Burkhead,RB,17,CIN,BAL,7,6,3500,10.4
29,17969,Kenneth Dixon,RB,17,BAL,CIN,13,19,4200,10
30,13158,Shaun Draughn,RB,17,SF,SEA,4,2,3200,9.9
31,16056,James White,RB,17,NE,MIA,24,17,3800,9.6
32,16142,Terrance West,RB,17,BAL,CIN,13,19,4400,9.4
33,18088,Alex Collins,RB,17,SEA,SF,32,32,4600,9.4
34,17023,Zach Zenner,RB,17,DET,GB,22,7,3200,9.3
35,17970,Devontae Booker,RB,17,DEN,OAK,23,23,3500,9.3
36,16838,Duke Johnson,RB,17,CLE,PIT,8,26,3500,9.1
37,2262,Tim Hightower,RB,17,NO,ATL,29,22,4000,8.5
38,17923,Ezekiel Elliott,RB,17,DAL,PHI,14,13,7400,8.2
39,13852,Bobby Rainey,RB,17,NYG,WAS,25,28,3000,7.8
40,9369,Justin Forsett,RB,17,DEN,OAK,23,23,3800,7.7
41,15102,Chris Thompson,RB,17,WAS,NYG,5,9,3700,7.6
42,13255,Matt Asiata,RB,17,MIN,CHI,18,11,3100,7
43,17959,Derrick Henry,RB,17,TEN,HOU,3,15,4900,7
44,18152,Dwayne Washington,RB,17,DET,GB,22,7,3400,6.7
45,17972,Paul Perkins,RB,17,NYG,WAS,25,28,3400,6.5
46,18690,Jalen Richard,RB,17,OAK,DEN,1,21,3900,6.5
47,14872,Mike Gillislee,RB,17,BUF,NYJ,26,20,4500,5.8
48,8649,Rashad Jennings,RB,17,NYG,WAS,25,28,4200,5.8
49,14533,Robert Turbin,RB,17,IND,JAX,10,14,3600,5.5
50,12985,DuJuan Harris,RB,17,SF,SEA,4,2,3900,5.3
51,14352,Travaris Cadet,RB,17,NO,ATL,29,22,3000,5.3
52,18061,Deandre Washington,RB,17,OAK,DEN,1,21,3800,5
53,18375,Peyton Barber,RB,17,TB,CAR,27,12,3000,4.9
