Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,2593,Aaron Rodgers,QB,1,GB,SEA,4,4,7000,20.5
2,4314,Tom Brady,QB,1,NE,KC,11,10,7600,20.2
3,14536,Russell Wilson,QB,1,SEA,GB,28,26,6900,19.7
4,16763,Marcus Mariota,QB,1,TEN,OAK,22,22,6800,18.9
5,732,Matt Ryan,QB,1,ATL,CHI,20,20,6900,18.8
6,13320,Cam Newton,QB,1,CAR,SF,32,23,7100,18.8
7,16311,Derek Carr,QB,1,OAK,TEN,19,28,6700,18.6
8,7242,Drew Brees,QB,1,NO,MIN,5,6,7200,18.4
9,12841,Andy Dalton,QB,1,CIN,BAL,8,9,5700,17.2
10,14252,Kirk Cousins,QB,1,WAS,PHI,10,7,6400,17
11,3807,Ben Roethlisberger,QB,1,PIT,CLE,31,32,7300,16.9
12,2428,Carson Palmer,QB,1,ARI,DET,24,30,6000,16.8
13,18055,Dak Prescott,QB,1,DAL,NYG,6,2,6300,16.7
14,11527,Sam Bradford,QB,1,MIN,NO,30,27,5900,16.5
15,9038,Matthew Stafford,QB,1,DET,ARI,7,12,6100,16.3
16,12831,Tyrod Taylor,QB,1,BUF,NYJ,21,21,6200,16.3
17,17920,Carson Wentz,QB,1,PHI,WAS,23,18,5300,16.1
18,4932,Eli Manning,QB,1,NYG,DAL,14,17,5600,16
19,8244,Philip Rivers,QB,1,LAC,DEN,1,1,5800,15.5
20,6739,Alex Smith,QB,1,KC,NE,2,11,5400,14.9
21,611,Joe Flacco,QB,1,BAL,CIN,12,14,5500,14.4
22,17009,Trevor Siemian,QB,1,DEN,LAC,16,15,5000,13.7
23,17922,Jared Goff,QB,1,LAR,IND,26,24,4800,13.6
24,15201,Mike Glennon,QB,1,CHI,ATL,29,31,4900,13.2
25,18868,Deshone Kizer,QB,1,CLE,PIT,9,5,4800,12.7
26,8358,Brian Hoyer,QB,1,SF,CAR,25,19,5100,12.7
27,16245,Blake Bortles,QB,1,JAX,HOU,3,3,4800,12.7
28,13103,Scott Tolzien,QB,1,IND,LAR,15,25,4500,12.2
29,16211,Tom Savage,QB,1,HOU,JAX,13,8,4800,11.1
30,5282,Josh McCown,QB,1,NYJ,BUF,17,13,4600,11
31,18857,Deshaun Watson,QB,1,HOU,JAX,13,8,4800,1.2
32,18811,Mitch Trubisky,QB,1,CHI,ATL,29,31,4600,1.1
33,2405,Chad Henne,QB,1,JAX,HOU,3,3,4300,0.9
34,18890,Patrick Mahomes,QB,1,KC,NE,2,11,4700,0.6
35,14053,Brock Osweiler,QB,1,DEN,LAC,16,15,4500,0.5
36,15694,Case Keenum,QB,1,MIN,NO,30,27,4700,0.4
37,14971,Landry Jones,QB,1,PIT,CLE,31,32,4700,0.3
38,18079,Kevin Hogan,QB,1,CLE,PIT,9,5,4000,0.3
39,14895,Geno Smith,QB,1,NYG,DAL,14,17,4800,0.3
40,16116,AJ McCarron,QB,1,CIN,BAL,8,9,4700,0.3
41,8723,Matt Cassel,QB,1,TEN,OAK,22,22,4500,0.3
42,13723,Nick Foles,QB,1,PHI,WAS,23,18,4600,0.3
43,14219,Kellen Moore,QB,1,DAL,NYG,6,2,4400,0.2
44,11047,Colt McCoy,QB,1,WAS,PHI,10,7,5200,0.2
45,14404,Austin Davis,QB,1,SEA,GB,28,26,4000,0.2
46,14868,EJ Manuel,QB,1,OAK,TEN,19,28,4000,0.2
47,12771,Ryan Mallett,QB,1,BAL,CIN,12,14,4500,0.2
48,4633,Matt Schaub,QB,1,ATL,CHI,20,20,4500,0.2
49,16907,Brett Hundley,QB,1,GB,SEA,4,4,4700,0.2
50,16041,Jimmy Garoppolo,QB,1,NE,KC,11,10,5800,0.2
51,16850,Sean Mannion,QB,1,LAR,IND,26,24,4300,0.2
52,4737,Drew Stanton,QB,1,ARI,DET,24,30,4100,0.2
53,12083,Derek Anderson,QB,1,CAR,SF,32,23,5500,0.1
54,17927,Christian Hackenberg,QB,1,NYJ,BUF,17,13,4400,0.1
55,9902,Chase Daniel,QB,1,NO,MIN,5,6,4600,0.1
56,19029,Nathan Peterman,QB,1,BUF,NYJ,21,21,4000,0.1
57,18018,Jacoby Brissett,QB,1,IND,LAR,15,25,4000,0.1
58,12956,TJ Yates,QB,1,BUF,NYJ,21,21,4200,0
59,5054,Kellen Clemens,QB,1,LAC,DEN,1,1,4000,0
60,18108,Jake Rudock,QB,1,DET,ARI,7,12,4000,0
61,18973,CJ Beathard,QB,1,SF,CAR,25,19,4000,0
62,8415,Mark Sanchez,QB,1,CHI,ATL,29,31,4300,0
63,12982,Blaine Gabbert,QB,1,ARI,DET,24,30,4500,0
64,14008,Andrew Luck,QB,1,IND,LAR,15,25,6500,0
65,14657,Alex Tanney,QB,1,TEN,OAK,22,22,4000,0
66,15293,Tyler Bray,QB,1,KC,NE,2,11,4000,0
67,16864,Bryce Petty,QB,1,NYJ,BUF,17,13,4000,0
68,17179,Taylor Heinicke,QB,1,MIN,NO,30,27,4000,0
69,17929,Paxton Lynch,QB,1,DEN,LAC,16,15,4600,0
