Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,10974,Rob Gronkowski,TE,4,NE,CAR,3,3,6600,15.9
2,14856,Zach Ertz,TE,4,PHI,LAC,19,7,6300,13.6
3,15048,Travis Kelce,TE,4,KC,WAS,5,28,6000,13.2
4,15100,Jordan Reed,TE,4,WAS,KC,15,9,5400,12.3
5,11488,Jimmy Graham,TE,4,SEA,IND,29,13,5400,11
6,7175,Delanie Walker,TE,4,TEN,HOU,25,20,4900,10.9
7,12751,Charles Clay,TE,4,BUF,ATL,23,9,3700,10.7
8,13275,Kyle Rudolph,TE,4,MIN,DET,9,14,4100,10.3
9,722,Jason Witten,TE,4,DAL,LAR,20,11,5000,10.3
10,18912,Evan Engram,TE,4,NYG,TB,29,2,3000,9.7
11,16451,Eric Ebron,TE,4,DET,MIN,21,23,3100,9.7
12,8534,Jared Cook,TE,4,OAK,DEN,11,27,3400,9.2
13,1181,Martellus Bennett,TE,4,GB,CHI,12,23,3700,9.2
14,15602,Jack Doyle,TE,4,IND,SEA,12,14,3700,9.1
15,11756,Benjamin Watson,TE,4,BAL,PIT,4,12,3600,8.7
16,16920,Jesse James,TE,4,PIT,BAL,7,32,3000,8.7
17,13997,Coby Fleener,TE,4,NO,MIA,14,25,3400,8.4
18,12415,Zach Miller,TE,4,CHI,GB,8,1,2800,8.3
19,16608,Austin Seferian-Jenkins,TE,4,NYJ,JAX,2,30,3000,8
20,17975,Hunter Henry,TE,4,LAC,PHI,17,22,3500,7.9
21,16593,Cameron Brate,TE,4,TB,NYG,12,29,3800,7.7
22,14985,Ryan Griffin,TE,4,HOU,TEN,30,21,3500,7.7
23,13027,Julius Thomas,TE,4,MIA,NO,31,24,2900,7.5
24,12153,Ed Dickson,TE,4,CAR,NE,32,31,2800,7.3
25,11026,Jermaine Gresham,TE,4,ARI,SF,26,1,2800,7.2
26,17963,Austin Hooper,TE,4,ATL,BUF,1,6,3300,7.2
27,7884,Antonio Gates,TE,4,LAC,PHI,17,22,2900,7.2
28,3061,Marcedes Lewis,TE,4,JAX,NYJ,27,14,2800,6.4
29,19063,George Kittle,TE,4,SF,ARI,18,5,2500,6.4
30,18876,David Njoku,TE,4,CLE,CIN,8,8,2900,6.3
31,16846,Tyler Kroft,TE,4,CIN,CLE,16,26,2600,5.6
32,18901,OJ Howard,TE,4,TB,NYG,12,29,2700,5.1
33,18262,Stephen Anderson,TE,4,HOU,TEN,30,21,2800,5.1
34,18057,Seth DeValve,TE,4,CLE,CIN,8,8,2600,4.9
35,13016,Virgil Green,TE,4,DEN,OAK,24,16,2700,4.8
36,5084,Vernon Davis,TE,4,WAS,KC,15,9,3700,4.4
37,18935,Gerald Everett,TE,4,LAR,DAL,15,17,2500,4.4
38,15263,Luke Willson,TE,4,SEA,IND,29,13,3000,4.3
39,18032,Tyler Higbee,TE,4,LAR,DAL,15,17,2500,3.9
40,16491,Richard Rodgers,TE,4,GB,CHI,12,23,2700,3.8
41,16962,AJ Derby,TE,4,DEN,OAK,24,16,2500,3.7
42,16931,Nick Boyle,TE,4,BAL,PIT,4,12,2500,3.5
43,14876,Dion Sims,TE,4,CHI,GB,8,1,2500,3.4
44,15965,Trey Burton,TE,4,PHI,LAC,19,7,2500,3.3
45,18990,Jonnu Smith,TE,4,TEN,HOU,25,20,2600,3.2
46,15866,Josh Hill,TE,4,NO,MIA,14,25,2500,2.8
47,16853,Jeff Heuerman,TE,4,DEN,OAK,24,16,2500,2.8
48,15305,Demetrius Harris,TE,4,KC,WAS,5,28,2600,2.7
49,13987,Dwayne Allen,TE,4,NE,CAR,3,3,2500,2.6
50,16648,Troy Niklas,TE,4,ARI,SF,26,1,2500,2.4
51,17005,Geoff Swaim,TE,4,DAL,LAR,20,11,2500,2.3
52,16829,Clive Walford,TE,4,OAK,DEN,11,27,2500,2.3
53,16958,Randall Telfer,TE,4,CLE,CIN,8,8,2500,2.2
54,15378,Levine Toilolo,TE,4,ATL,BUF,1,6,2500,2.2
55,13386,Lance Kendricks,TE,4,GB,CHI,12,23,2500,2.1
56,15247,Darren Fells,TE,4,DET,MIN,21,23,2500,2.1
57,18931,Adam Shaheen,TE,4,CHI,GB,8,1,2500,1.9
58,16954,Nick O'Leary,TE,4,BUF,ATL,23,9,2500,1.7
59,14496,Garrett Celek,TE,4,SF,ARI,18,5,2500,1.5
60,11345,Logan Paulsen,TE,4,SF,ARI,18,5,2500,1.5
61,13370,Luke Stocker,TE,4,TB,NYG,12,29,2500,1.4
62,5511,Brent Celek,TE,4,PHI,LAC,19,7,2500,1.4
63,11535,Michael Hoomanawanui,TE,4,NO,MIA,14,25,2500,1.3
64,15239,Vance McDonald,TE,4,PIT,BAL,7,32,2700,1.3
65,16933,James O'Shaughnessy,TE,4,JAX,NYJ,27,14,2500,1.2
66,14445,Rhett Ellison,TE,4,NYG,TB,29,2,2500,1.2
67,16917,CJ Uzomah,TE,4,CIN,CLE,16,26,2500,1.1
68,18101,Jerell Adams,TE,4,NYG,TB,29,2,2500,1.1
69,1545,Anthony Fasano,TE,4,MIA,NO,31,24,2500,1.1
70,17762,Chris Manhertz,TE,4,CAR,NE,32,31,2500,0.9
71,16988,Ben Koyack,TE,4,JAX,NYJ,27,14,2500,0.9
72,18105,David Morgan,TE,4,MIN,DET,9,14,2500,0.8
73,12777,Lee Smith,TE,4,OAK,DEN,11,27,2500,0.8
74,14152,James Hanna,TE,4,DAL,LAR,20,11,2500,0.7
75,15561,Brandon Williams,TE,4,IND,SEA,12,14,2500,0.7
76,19176,Darrell Daniels,TE,4,IND,SEA,12,14,2500,0.7
77,17750,Ross Travis,TE,4,KC,WAS,5,28,2500,0.6
78,19067,Jeremy Sprinkle,TE,4,WAS,KC,15,9,2500,0.6
79,19281,Jacob Hollister,TE,4,NE,CAR,3,3,2500,0.5
80,15937,Phillip Supernaw,TE,4,TEN,HOU,25,20,2500,0.5
81,19035,Eric Saubert,TE,4,ATL,BUF,1,6,2500,0.5
82,18019,Nick Vannett,TE,4,SEA,IND,29,13,2500,0.5
83,15640,Derek Carrier,TE,4,LAR,DAL,15,17,2500,0.5
84,15371,MarQueis Gray,TE,4,MIA,NO,31,24,2500,0.5
85,19010,Michael Roberts,TE,4,DET,MIN,21,23,2500,0.5
86,13170,Niles Paul,TE,4,WAS,KC,15,9,2500,0.5
87,14820,Sean McGrath,TE,4,LAC,PHI,17,22,2500,0.4
88,16395,Xavier Grimble,TE,4,PIT,BAL,7,32,2500,0.4
89,16878,Blake Bell,TE,4,MIN,DET,9,14,2500,0.4
90,17223,Eric Tomlinson,TE,4,NYJ,JAX,2,30,2500,0.3
91,16111,Ryan Hewitt,TE,4,CIN,CLE,16,26,2500,0.3
92,16656,Logan Thomas,TE,4,BUF,ATL,23,9,2500,0
93,16816,Maxx Williams,TE,4,BAL,PIT,4,12,2500,0
94,14918,Tyler Eifert,TE,4,CIN,CLE,16,26,3900,0
95,16200,CJ Fiedorowicz,TE,4,HOU,TEN,30,21,3000,0
96,1658,Greg Olsen,TE,4,CAR,NE,32,31,4700,0
97,18999,Jordan Leggett,TE,4,NYJ,JAX,2,30,2500,0
98,17415,Matt LaCosse,TE,4,NYG,TB,29,2,2500,0
99,16238,Erik Swoope,TE,4,IND,SEA,12,14,2900,0
100,17154,Khari Lee,TE,4,BUF,ATL,23,9,2500,0
101,17754,Will Tye,TE,4,NYJ,JAX,2,30,2600,0
