Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,11056,Antonio Brown,WR,7,PIT,CIN,3,5,8900,17.7
2,13291,Julio Jones,WR,7,ATL,NE,32,28,8500,17.4
3,12845,AJ Green,WR,7,CIN,PIT,1,1,8300,16.3
4,17960,Michael Thomas,WR,7,NO,GB,14,19,7500,15.9
5,5571,Larry Fitzgerald,WR,7,ARI,LAR,20,7,7300,15.4
6,11270,Dez Bryant,WR,7,DAL,SF,28,22,7800,15.3
7,11197,Demaryius Thomas,WR,7,DEN,LAC,18,24,5800,15.2
8,16597,Mike Evans,WR,7,TB,BUF,4,10,7600,15.1
9,16568,Brandin Cooks,WR,7,NE,ATL,16,11,7400,14.5
10,9331,Michael Crabtree,WR,7,OAK,KC,23,31,6100,14.4
11,13460,Doug Baldwin,WR,7,SEA,NYG,24,6,6600,14.2
12,4556,Jordy Nelson,WR,7,GB,NO,23,26,6800,14.1
13,16020,Jarvis Landry,WR,7,MIA,NYJ,19,15,6800,14.1
14,6767,Pierre Garcon,WR,7,SF,DAL,27,25,5800,14
15,14828,Chris Hogan,WR,7,NE,ATL,16,11,7000,13.9
16,15534,Adam Thielen,WR,7,MIN,BAL,9,3,6700,13.5
17,14005,TY Hilton,WR,7,IND,JAX,2,2,6100,13.3
18,18082,Tyreek Hill,WR,7,KC,OAK,18,7,6700,13.3
19,15076,Keenan Allen,WR,7,LAC,DEN,7,8,6300,12.7
20,13788,Rishard Matthews,WR,7,TEN,CLE,21,17,5500,12.5
21,14187,Alshon Jeffery,WR,7,PHI,WAS,12,4,6200,12.3
22,16802,Devin Funchess,WR,7,CAR,CHI,13,12,6000,12
23,16470,Davante Adams,WR,7,GB,NO,23,26,5800,11.9
24,16550,Kelvin Benjamin,WR,7,CAR,CHI,13,12,6900,11.5
25,3943,DeSean Jackson,WR,7,TB,BUF,4,10,5700,11.4
26,13693,Terrelle Pryor,WR,7,WAS,PHI,17,27,5300,11.2
27,9906,Danny Amendola,WR,7,NE,ATL,16,11,5600,11.1
