Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,15048,Travis Kelce,TE,17,KC,LAC,16,16,5000,14.5
2,14856,Zach Ertz,TE,17,PHI,DAL,11,26,4800,12.8
3,13275,Kyle Rudolph,TE,17,MIN,CHI,18,6,4600,12.4
4,11488,Jimmy Graham,TE,17,SEA,SF,32,15,4500,11.9
5,1658,Greg Olsen,TE,17,CAR,TB,20,11,5500,11.9
6,7175,Delanie Walker,TE,17,TEN,HOU,3,4,4000,11.1
7,16451,Eric Ebron,TE,17,DET,GB,22,18,3600,10.9
8,7884,Antonio Gates,TE,17,LAC,KC,12,3,3800,10.5
9,11017,Dennis Pitta,TE,17,BAL,CIN,13,29,3400,10.1
10,1181,Martellus Bennett,TE,17,NE,MIA,24,24,3900,9.7
11,12751,Charles Clay,TE,17,BUF,NYJ,26,27,3500,9.6
12,16200,CJ Fiedorowicz,TE,17,HOU,TEN,22,12,3900,9.5
13,15602,Jack Doyle,TE,17,IND,JAX,10,14,3200,9.5
14,8534,Jared Cook,TE,17,GB,DET,19,29,3100,8.9
15,15100,Jordan Reed,TE,17,WAS,NYG,5,13,5100,8.5
16,13997,Coby Fleener,TE,17,NO,ATL,29,28,3100,8.4
17,4577,Gary Barnidge,TE,17,CLE,PIT,8,19,2900,8.1
18,11026,Jermaine Gresham,TE,17,ARI,LAR,15,7,2600,8.1
19,14876,Dion Sims,TE,17,MIA,NE,2,10,2500,7.3
20,17975,Hunter Henry,TE,17,LAC,KC,12,3,2700,7.2
21,5084,Vernon Davis,TE,17,WAS,NYG,5,13,3300,7.1
22,16917,CJ Uzomah,TE,17,CIN,BAL,7,8,2500,7
23,13386,Lance Kendricks,TE,17,LAR,ARI,9,1,2700,6.2
24,13987,Dwayne Allen,TE,17,IND,JAX,10,14,2600,6.2
25,722,Jason Witten,TE,17,DAL,PHI,14,2,3100,6
26,16853,Jeff Heuerman,TE,17,DEN,OAK,23,25,2500,5.9
27,8778,Brandon Myers,TE,17,TB,CAR,27,31,2700,5.8
28,15965,Trey Burton,TE,17,PHI,DAL,11,26,2500,5.5
29,14496,Garrett Celek,TE,17,SF,SEA,4,5,2700,5.3
30,16829,Clive Walford,TE,17,OAK,DEN,1,21,2500,5.3
31,17754,Will Tye,TE,17,NYG,WAS,25,23,2800,5.3
32,16988,Ben Koyack,TE,17,JAX,IND,28,22,2500,5.3
33,16920,Jesse James,TE,17,PIT,CLE,31,32,3000,4.6
34,14985,Ryan Griffin,TE,17,HOU,TEN,22,12,2900,4.4
35,15378,Levine Toilolo,TE,17,ATL,NO,30,20,2500,3.8
36,13016,Virgil Green,TE,17,DEN,OAK,23,25,2500,3.7
37,13370,Luke Stocker,TE,17,TB,CAR,27,31,2500,3.7
38,15082,Gavin Escobar,TE,17,DAL,PHI,14,2,2800,3.5
