Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,14967,Le'Veon Bell,RB,5,PIT,JAX,4,30,9500,22.3
2,17923,Ezekiel Elliott,RB,5,DAL,GB,6,23,8800,20.7
3,16771,Todd Gurley,RB,5,LAR,SEA,8,19,8000,18.8
4,11932,LeSean McCoy,RB,5,BUF,CIN,3,6,7800,18.2
5,18944,Kareem Hunt,RB,5,KC,HOU,10,3,8600,18.1
6,16668,Carlos Hyde,RB,5,SF,IND,30,13,6900,16.3
7,18803,Leonard Fournette,RB,5,JAX,PIT,1,20,7000,15.1
8,12800,Bilal Powell,RB,5,NYJ,CLE,27,15,6200,14.8
9,16776,Melvin Gordon,RB,5,LAC,NYG,24,17,6000,14.7
10,16909,Jay Ajayi,RB,5,MIA,TEN,31,25,6600,14.7
11,18877,Christian McCaffrey,RB,5,CAR,DET,5,14,5700,14.3
12,13124,DeMarco Murray,RB,5,TEN,MIA,19,16,5400,13.9
13,13791,Lamar Miller,RB,5,HOU,KC,15,10,5000,13.7
14,18067,Jordan Howard,RB,5,CHI,MIN,14,2,5600,13.6
15,16815,Ameer Abdullah,RB,5,DET,CAR,7,5,4700,12.6
16,18858,Joe Mixon,RB,5,CIN,BUF,2,9,5500,12.5
17,5820,Frank Gore,RB,5,IND,SF,23,27,4400,11.9
18,16056,James White,RB,5,NE,TB,29,9,4900,11.5
19,16838,Duke Johnson,RB,5,CLE,NYJ,16,29,4900,11.4
20,5451,Jonathan Stewart,RB,5,CAR,DET,5,14,3900,11
21,19003,Tarik Cohen,RB,5,CHI,MIN,14,2,5300,10.9
22,15071,Latavius Murray,RB,5,MIN,CHI,20,12,4500,10.8
23,16127,Isaiah Crowell,RB,5,CLE,NYJ,16,29,4700,10.7
24,12386,Marshawn Lynch,RB,5,OAK,BAL,12,28,5100,10.4
25,14385,Doug Martin,RB,5,TB,NE,32,31,5500,10.3
26,14872,Mike Gillislee,RB,5,NE,TB,29,9,5300,10.2
27,15224,Andre Ellington,RB,5,ARI,PHI,21,8,4600,10.1
28,16510,Jerick McKinnon,RB,5,MIN,CHI,20,12,4000,9.9
29,12296,LeGarrette Blount,RB,5,PHI,ARI,13,4,4200,9.8
30,19045,Aaron Jones,RB,5,GB,DAL,26,22,5100,9.8
31,15126,Theo Riddick,RB,5,DET,CAR,7,5,4100,9.8
32,16886,Javorius Allen,RB,5,BAL,OAK,17,18,4500,9.6
33,6828,Chris Johnson,RB,5,ARI,PHI,21,8,3900,8.2
34,14916,Giovani Bernard,RB,5,CIN,BUF,2,9,4100,8.2
35,18996,Wayne Gallman,RB,5,NYG,LAC,25,26,3900,8.2
36,18995,Jamaal Williams,RB,5,GB,DAL,26,22,5000,8.1
37,18088,Alex Collins,RB,5,BAL,OAK,17,18,4000,8
38,17959,Derrick Henry,RB,5,TEN,MIA,19,16,5200,7.7
39,19109,Elijah McGuire,RB,5,NYJ,CLE,27,15,4300,7.5
