Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,12845,AJ Green,WR,4,CIN,CLE,16,15,8600,23
2,11056,Antonio Brown,WR,4,PIT,BAL,7,5,9300,19.9
3,16389,Odell Beckham Jr,WR,4,NYG,TB,29,32,8900,18.7
4,13291,Julio Jones,WR,4,ATL,BUF,1,6,8800,18.3
5,17960,Michael Thomas,WR,4,NO,MIA,14,16,7300,17.9
6,4556,Jordy Nelson,WR,4,GB,CHI,12,14,7700,17.1
7,16597,Mike Evans,WR,4,TB,NYG,12,4,7400,16.3
8,18082,Tyreek Hill,WR,4,KC,WAS,5,3,6800,16.1
9,5571,Larry Fitzgerald,WR,4,ARI,SF,26,18,6100,16
10,16020,Jarvis Landry,WR,4,MIA,NO,31,25,6500,16
11,14986,DeAndre Hopkins,WR,4,HOU,TEN,30,29,6400,15.4
12,11063,Emmanuel Sanders,WR,4,DEN,OAK,24,13,6100,15.4
13,13460,Doug Baldwin,WR,4,SEA,IND,29,28,7600,15.3
14,11611,Golden Tate,WR,4,DET,MIN,21,31,6300,15.2
15,11197,Demaryius Thomas,WR,4,DEN,OAK,24,13,6300,15
16,15076,Keenan Allen,WR,4,LAC,PHI,17,22,7200,14.9
17,16906,Stefon Diggs,WR,4,MIN,DET,9,17,7100,14.8
18,11270,Dez Bryant,WR,4,DAL,LAR,20,10,6500,14.7
19,16568,Brandin Cooks,WR,4,NE,CAR,3,8,7600,14.4
20,14187,Alshon Jeffery,WR,4,PHI,LAC,19,24,6200,14.3
21,14005,TY Hilton,WR,4,IND,SEA,12,10,5800,13.9
22,16765,Amari Cooper,WR,4,OAK,DEN,11,14,6000,13.5
23,16775,Devante Parker,WR,4,MIA,NO,31,25,6700,13.3
24,16003,Sammy Watkins,WR,4,LAR,DAL,15,20,5900,12.7
25,16470,Davante Adams,WR,4,GB,CHI,12,14,5900,12.5
26,14828,Chris Hogan,WR,4,NE,CAR,3,8,6000,12.5
27,16258,Marqise Lee,WR,4,JAX,NYJ,27,28,4500,12.4
28,13788,Rishard Matthews,WR,4,TEN,HOU,25,23,4900,12.2
29,13227,Randall Cobb,WR,4,GB,CHI,12,14,6000,12
30,6767,Pierre Garcon,WR,4,SF,ARI,18,30,5500,11.8
31,16550,Kelvin Benjamin,WR,4,CAR,NE,32,26,6000,11.6
32,13693,Terrelle Pryor,WR,4,WAS,KC,15,25,5400,11.6
33,15534,Adam Thielen,WR,4,MIN,DET,9,17,5800,11.3
34,8914,Jeremy Maclin,WR,4,BAL,PIT,4,1,4500,11.2
35,17048,Tyrell Williams,WR,4,LAC,PHI,17,22,4400,11.1
36,15974,Jordan Matthews,WR,4,BUF,ATL,23,12,3900,11.1
37,17961,Sterling Shepard,WR,4,NYG,TB,29,32,5000,10.9
38,16253,Allen Hurns,WR,4,JAX,NYJ,27,28,4700,10.9
39,13878,Mohamed Sanu,WR,4,ATL,BUF,1,6,4800,10.8
40,14749,Jermaine Kearse,WR,4,NYJ,JAX,2,2,4600,10.7
41,3943,DeSean Jackson,WR,4,TB,NYG,12,4,5200,10.5
42,16146,Martavis Bryant,WR,4,PIT,BAL,7,5,5400,10.4
43,16830,Tyler Lockett,WR,4,SEA,IND,29,28,5000,10.3
44,16866,Jamison Crowder,WR,4,WAS,KC,15,25,4900,10.3
45,11182,Eric Decker,WR,4,TEN,HOU,25,23,4200,9.9
46,16802,Devin Funchess,WR,4,CAR,NE,32,26,5300,9.9
47,12109,Ted Ginn,WR,4,NO,MIA,14,16,3900,9.6
48,13870,Marvin Jones,WR,4,DET,MIN,21,31,4000,9.6
49,16694,Paul Richardson,WR,4,SEA,IND,29,28,5100,9.4
50,9906,Danny Amendola,WR,4,NE,CAR,3,8,4900,9
51,8532,Kenny Britt,WR,4,CLE,CIN,8,11,4300,9
52,14141,Cole Beasley,WR,4,DAL,LAR,20,10,4500,8.9
53,11667,Brandon Marshall,WR,4,NYG,TB,29,32,4600,8.7
54,18882,Cooper Kupp,WR,4,LAR,DAL,15,20,4300,8.7
55,15196,Kenny Stills,WR,4,MIA,NO,31,25,4300,8.6
56,16919,JJ Nelson,WR,4,ARI,SF,26,18,5600,8.6
57,18187,Robby Anderson,WR,4,NYJ,JAX,2,2,3800,8.6
58,16781,Nelson Agholor,WR,4,PHI,LAC,19,24,3900,8.5
59,18089,Rashard Higgins,WR,4,CLE,CIN,8,11,4500,8.5
60,8529,Mike Wallace,WR,4,BAL,PIT,4,1,3500,8.5
61,16232,Donte Moncrief,WR,4,IND,SEA,12,10,3900,8.4
62,16129,Taylor Gabriel,WR,4,ATL,BUF,1,6,4100,8.3
63,14871,Robert Woods,WR,4,LAR,DAL,15,20,3900,8.3
64,16640,John Brown,WR,4,ARI,SF,26,18,5100,8.2
65,13887,Travis Benjamin,WR,4,LAC,PHI,17,22,3900,8.1
66,11463,Brandon LaFell,WR,4,CIN,CLE,16,15,3800,8.1
67,12830,Torrey Smith,WR,4,PHI,LAC,19,24,3700,8
68,18926,Zay Jones,WR,4,BUF,ATL,23,12,3100,7.9
69,13957,Kendall Wright,WR,4,CHI,GB,8,9,3800,7.6
70,15088,Terrance Williams,WR,4,DAL,LAR,20,10,3600,7.5
71,17916,Will Fuller,WR,4,HOU,TEN,30,29,3800,7.5
72,15509,Jaron Brown,WR,4,ARI,SF,26,18,4000,7.4
73,16837,Chris Conley,WR,4,KC,WAS,5,3,3200,7.4
74,16567,Brandon Coleman,WR,4,NO,MIA,14,16,3500,7.3
75,16326,Seth Roberts,WR,4,OAK,DEN,11,14,3300,7.1
76,12794,Jeremy Kerley,WR,4,NYJ,JAX,2,2,3700,6.9
77,14865,Marquise Goodwin,WR,4,SF,ARI,18,30,3500,6.9
78,16276,Bennie Fowler,WR,4,DEN,OAK,24,13,3300,6.6
79,16308,Albert Wilson,WR,4,KC,WAS,5,3,3300,6.4
80,17290,Adam Humphries,WR,4,TB,NYG,12,4,3300,6.3
81,14850,Russell Shepard,WR,4,CAR,NE,32,26,4000,6.2
82,13856,Deonte Thompson,WR,4,CHI,GB,8,9,3100,5.9
83,16456,TJ Jones,WR,4,DET,MIN,21,31,3000,5.9
84,16787,Breshad Perriman,WR,4,BAL,PIT,4,1,3000,5.8
85,19064,Trent Taylor,WR,4,SF,ARI,18,30,3300,5.8
86,18269,Geronimo Allison,WR,4,GB,CHI,12,14,4100,5.6
87,15150,Cordarrelle Patterson,WR,4,OAK,DEN,11,14,3000,5.5
88,13264,Andre Holmes,WR,4,BUF,ATL,23,12,3000,5.4
89,14973,Markus Wheaton,WR,4,CHI,GB,8,9,3300,5.2
90,15215,Tavon Austin,WR,4,LAR,DAL,15,20,3100,5.2
91,18036,Ricardo Louis,WR,4,CLE,CIN,8,11,3200,5.1
92,17986,Tyler Boyd,WR,4,CIN,CLE,16,15,3300,5
93,15066,Brice Butler,WR,4,DAL,LAR,20,10,3000,4.9
94,18883,Juju Smith-Schuster,WR,4,PIT,BAL,7,5,3000,4.7
95,16411,Ryan Grant,WR,4,WAS,KC,15,25,3300,4.4
96,19514,Keelan Cole,WR,4,JAX,NYJ,27,28,3000,4.4
97,12722,Kamar Aiken,WR,4,IND,SEA,12,10,3400,4.2
98,18971,Taywan Taylor,WR,4,TEN,HOU,25,23,3400,4.2
99,17914,Laquon Treadwell,WR,4,MIN,DET,9,17,3200,4.1
100,17939,Josh Doctson,WR,4,WAS,KC,15,25,3600,4.1
101,14465,Jarius Wright,WR,4,MIN,DET,9,17,3000,4.1
102,18880,Chris Godwin,WR,4,TB,NYG,12,4,3000,3.2
103,18401,Tommylee Lewis,WR,4,NO,MIA,14,16,3000,3.1
104,14795,Josh Bellamy,WR,4,CHI,GB,8,9,3100,3
105,16664,Bruce Ellington,WR,4,HOU,TEN,30,29,3700,2.9
106,13171,Aldrick Robinson,WR,4,SF,ARI,18,30,3000,2.7
107,16081,Michael Campanaro,WR,4,BAL,PIT,4,1,3000,2.6
108,18965,Ardarius Stewart,WR,4,NYJ,JAX,2,2,3000,2.5
109,17141,Damiere Byrd,WR,4,CAR,NE,32,26,3000,2.3
110,16728,Dontrelle Inman,WR,4,LAC,PHI,17,22,3200,2
111,18285,Roger Lewis,WR,4,NYG,TB,29,32,3200,1.9
112,18197,Alex Erickson,WR,4,CIN,CLE,16,15,3100,1.9
113,16868,Justin Hardy,WR,4,ATL,BUF,1,6,3000,1.6
114,11501,Arrelious Benn,WR,4,JAX,NYJ,27,28,3000,1.4
115,18602,Tanner McEvoy,WR,4,SEA,IND,29,28,3000,1.4
116,14978,Justin Hunter,WR,4,PIT,BAL,7,5,3000,1.3
117,18985,Amara Darboh,WR,4,SEA,IND,29,28,3000,1.3
118,17079,Kasen Williams,WR,4,CLE,CIN,8,11,3000,1.2
119,16790,Phillip Dorsett,WR,4,NE,CAR,3,8,4000,1.1
120,16469,Jared Abbrederis,WR,4,DET,MIN,21,31,3000,1.1
121,19023,Mack Hollins,WR,4,PHI,LAC,19,24,3000,1
122,18241,Johnny Holton,WR,4,OAK,DEN,11,14,3000,1
123,17355,Quan Bray,WR,4,IND,SEA,12,10,3000,1
124,18039,Pharoh Cooper,WR,4,LAR,DAL,15,20,3000,0.9
125,19276,Austin Carr,WR,4,NO,MIA,14,16,3000,0.9
126,18660,Maxwell McCaffrey,WR,4,JAX,NYJ,27,28,3000,0.9
127,18116,Cody Core,WR,4,CIN,CLE,16,15,3000,0.8
128,16944,Kaelin Clay,WR,4,BUF,ATL,23,12,3000,0.8
129,17153,Jordan Taylor,WR,4,DEN,OAK,24,13,3000,0.8
130,15268,Nick Williams,WR,4,ATL,BUF,1,6,3000,0.7
131,13117,Dwayne Harris,WR,4,NYG,TB,29,32,3000,0.7
132,8771,Darrius Heyward-Bey,WR,4,PIT,BAL,7,5,3000,0.7
133,15725,Brittan Golden,WR,4,ARI,SF,26,18,3000,0.7
134,19317,Victor Bolden Jr.,WR,4,SF,ARI,18,30,3000,0.7
135,19080,Noah Brown,WR,4,DAL,LAR,20,10,3000,0.6
136,11565,Andre Roberts,WR,4,ATL,BUF,1,6,3000,0.6
137,18014,Leonte Carroo,WR,4,MIA,NO,31,25,3000,0.6
138,19017,Josh Reynolds,WR,4,LAR,DAL,15,20,3000,0.6
139,18047,Demarcus Robinson,WR,4,KC,WAS,5,3,3000,0.6
140,18080,Trevor Davis,WR,4,GB,CHI,12,14,3000,0.5
141,18103,Jakeem Grant,WR,4,MIA,NO,31,25,3000,0.5
142,16536,Bernard Reedy,WR,4,TB,NYG,12,4,3000,0.5
143,16480,Jeff Janis,WR,4,GB,CHI,12,14,3300,0.5
144,19043,Isaiah McKenzie,WR,4,DEN,OAK,24,13,3000,0.5
145,19021,Chad Hansen,WR,4,NYJ,JAX,2,2,3000,0.4
146,17070,Darius Jennings,WR,4,TEN,HOU,25,23,3000,0.4
147,17799,Jordan Leslie,WR,4,CLE,CIN,8,11,3700,0.4
148,19008,Ryan Switzer,WR,4,DAL,LAR,20,10,3000,0.4
149,16305,De'Anthony Thomas,WR,4,KC,WAS,5,3,3000,0.4
150,16731,Chris Matthews,WR,4,BAL,PIT,4,1,3000,0.4
151,3601,Eric Weems,WR,4,TEN,HOU,25,23,3000,0.4
152,17219,Daniel Brown,WR,4,CHI,GB,8,9,2500,0
153,16141,Willie Snead,WR,4,NO,MIA,14,16,5000,0
154,18221,Rashawn Scott,WR,4,MIA,NO,31,25,3000,0
155,8373,Brandon Tate,WR,4,BUF,ATL,23,12,3000,0
156,16651,Walter Powell,WR,4,BUF,ATL,23,12,3000,0
157,16884,Vince Mayle,WR,4,BAL,PIT,4,1,3000,0
158,17480,Eli Rogers,WR,4,PIT,BAL,7,5,3300,0
159,18030,Chris Moore,WR,4,BAL,PIT,4,1,3000,0
160,17938,Corey Coleman,WR,4,CLE,CIN,8,11,4800,0
161,18881,John Ross,WR,4,CIN,CLE,16,15,3300,0
162,19006,Josh Malone,WR,4,CIN,CLE,16,15,3000,0
163,17964,Braxton Miller,WR,4,HOU,TEN,30,29,3000,0
164,18879,Corey Davis,WR,4,TEN,HOU,25,23,4000,0
165,14478,Michael Floyd,WR,4,MIN,DET,9,17,3500,0
166,18977,Kenny Golladay,WR,4,DET,MIN,21,31,4100,0
167,19054,Rodney Adams,WR,4,MIN,DET,9,17,3000,0
168,19100,Stacy Coley,WR,4,MIN,DET,9,17,3000,0
169,7651,Matthew Slater,WR,4,NE,CAR,3,8,3000,0
170,18034,Malcolm Mitchell,WR,4,NE,CAR,3,8,3600,0
171,18928,Curtis Samuel,WR,4,CAR,NE,32,26,4000,0
172,18157,Charone Peake,WR,4,NYJ,JAX,2,2,3000,0
173,14847,Ifeanyi Momah,WR,4,ARI,SF,26,18,2500,0
174,18974,Chad Williams,WR,4,ARI,SF,26,18,3000,0
175,18209,Marcus Johnson,WR,4,PHI,LAC,19,24,3000,0
176,18914,Mike Williams,WR,4,LAC,PHI,17,22,3700,0
177,19060,Shelton Gibson,WR,4,PHI,LAC,19,24,3000,0
178,9331,Michael Crabtree,WR,4,OAK,DEN,11,14,6200,0
179,16278,Cody Latimer,WR,4,DEN,OAK,24,13,3000,0
180,18361,Chester Rogers,WR,4,IND,SEA,12,10,3000,0
181,14424,Brian Quick,WR,4,WAS,KC,15,25,3000,0
182,19015,Jehu Chesson,WR,4,KC,WAS,5,3,3000,0
183,16848,Sammie Coates,WR,4,CLE,CIN,8,11,3100,0
184,18257,Jalin Marshall,WR,4,NYJ,JAX,2,2,3000,0
185,16831,Jaelen Strong,WR,4,JAX,NYJ,27,28,3500,0
