Rk,ID,Player,Pos,Week,Team,Opp,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,97,Washington Redskins,DST,3,WAS,OAK,6,4,6,2,1,0,0,0,10,14
2,69,New Orleans Saints,DST,3,NO,CAR,4,4,5,3,0,0,0,0,13,14
3,82,New York Jets,DST,3,NYJ,MIA,8,3,7,2,0,0,0,0,6,14
4,7,Cincinnati Bengals,DST,3,CIN,GB,6,6,11,1,0,0,1,0,27,14
5,11,Detroit Lions,DST,3,DET,ATL,3,2,5,3,0,0,1,0,30,13
6,55,Kansas City Chiefs,DST,3,KC,LAC,8,2,6,3,0,0,0,0,10,12
7,52,Jacksonville Jaguars,DST,3,JAX,BAL,5,2,5,2,1,0,0,0,7,12
8,38,Chicago Bears,DST,3,CHI,PIT,2,3,6,0,2,0,0,0,17,10
9,67,Minnesota Vikings,DST,3,MIN,TB,3,2,3,3,0,0,0,0,17,9
10,13,Houston Texans,DST,3,HOU,NE,8,5,9,0,1,0,1,0,36,9
11,37,Buffalo Bills,DST,3,BUF,DEN,4,3,6,2,0,0,0,0,16,8
12,48,Dallas Cowboys,DST,3,DAL,ARI,10,6,11,0,0,0,0,0,17,7
13,28,Pittsburgh Steelers,DST,3,PIT,CHI,6,2,3,1,1,0,0,0,23,6
14,12,Green Bay Packers,DST,3,GB,CIN,10,3,5,0,1,0,0,0,24,6
15,14,Indianapolis Colts,DST,3,IND,CLE,3,1,9,3,0,0,0,0,28,6
16,21,New England Patriots,DST,3,NE,HOU,3,2,7,2,0,0,0,0,33,6
17,75,New York Giants,DST,3,NYG,PHI,6,3,4,0,1,0,0,0,27,5
18,64,Miami Dolphins,DST,3,MIA,NYJ,4,2,5,0,1,0,0,0,20,5
19,83,Oakland Raiders,DST,3,OAK,WAS,5,1,6,0,2,0,0,0,27,5
20,84,Los Angeles Chargers,DST,3,LAC,KC,8,5,5,0,0,0,0,0,24,5
21,26,Philadelphia Eagles,DST,3,PHI,NYG,4,0,4,2,0,0,0,0,24,4
22,8,Cleveland Browns,DST,3,CLE,IND,7,3,7,0,1,0,0,0,31,4
23,49,Denver Broncos,DST,3,DEN,BUF,8,4,8,0,0,0,0,0,26,4
24,32,Los Angeles Rams,DST,3,LAR,SF,6,4,7,1,1,0,0,0,39,4
25,2,Atlanta Falcons,DST,3,ATL,DET,6,2,6,0,0,0,0,0,26,3
26,34,Tennessee Titans,DST,3,TEN,SEA,3,1,11,0,0,0,0,0,27,1
27,1,Arizona Cardinals,DST,3,ARI,DAL,6,1,5,0,0,0,0,0,28,0
28,93,San Francisco 49ers,DST,3,SF,LAR,4,0,3,0,2,0,0,0,41,0
29,5,Carolina Panthers,DST,3,CAR,NO,4,1,4,0,0,0,0,0,34,0
30,90,Seattle Seahawks,DST,3,SEA,TEN,6,0,0,0,0,0,0,0,33,-1
31,95,Tampa Bay Buccaneers,DST,3,TB,MIN,2,0,5,0,0,0,0,0,34,-1
32,36,Baltimore Ravens,DST,3,BAL,JAX,2,0,3,0,0,0,0,0,44,-4
