Rk,ID,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points
1,13320,Cam Newton,QB,4,CAR,NE,22,29,76,316,11,3,1,131,8,44,6,1,37.04
2,18857,Deshaun Watson,QB,4,HOU,TEN,25,34,74,283,8,4,1,125,4,24,6,1,34.72
3,14536,Russell Wilson,QB,4,SEA,IND,21,26,81,295,11,2,2,108,4,38,10,1,29.60
4,16762,Jameis Winston,QB,4,TB,NYG,22,38,58,332,9,3,0,113,4,12,3,0,29.48
5,12841,Andy Dalton,QB,4,CIN,CLE,25,30,83,286,10,4,0,146,4,29,7,0,29.34
6,4932,Eli Manning,QB,4,NYG,TB,30,49,61,288,6,2,0,91,3,22,7,1,27.72
7,6739,Alex Smith,QB,4,KC,WAS,27,37,73,293,8,1,0,105,7,56,8,1,27.32
8,8244,Philip Rivers,QB,4,LAC,PHI,22,38,58,347,9,2,0,106,0,0,0,0,23.88
9,18055,Dak Prescott,QB,4,DAL,LAR,20,36,56,252,7,3,1,94,3,25,8,0,23.58
10,4314,Tom Brady,QB,4,NE,CAR,32,45,71,307,7,2,0,105,1,2,2,0,23.48
11,2593,Aaron Rodgers,QB,4,GB,CHI,18,26,69,179,7,4,0,128,1,-1,-1,0,23.06
12,14252,Kirk Cousins,QB,4,WAS,KC,14,24,58,220,9,2,0,117,7,38,5,0,20.60
13,2428,Carson Palmer,QB,4,ARI,SF,33,51,65,357,7,1,1,84,2,1,1,0,20.38
14,7242,Drew Brees,QB,4,NO,MIA,29,41,71,268,7,2,0,105,4,3,1,0,19.02
15,17922,Jared Goff,QB,4,LAR,DAL,21,36,58,255,7,2,0,99,1,-1,-1,0,18.10
16,16763,Marcus Mariota,QB,4,TEN,HOU,6,10,60,96,10,0,2,53,4,39,10,2,17.74
17,17920,Carson Wentz,QB,4,PHI,LAC,17,31,55,242,8,1,0,91,6,14,2,0,15.08
18,12831,Tyrod Taylor,QB,4,BUF,ATL,12,20,60,182,9,1,0,107,7,12,2,0,12.48
19,16245,Blake Bortles,QB,4,JAX,NYJ,15,35,43,140,4,1,1,52,4,38,10,0,12.40
20,18018,Jacoby Brissett,QB,4,IND,SEA,16,29,55,157,5,1,1,68,3,33,11,0,11.58
21,3807,Ben Roethlisberger,QB,4,PIT,BAL,18,30,60,216,7,1,1,79,1,-1,-1,0,11.54
22,732,Matt Ryan,QB,4,ATL,BUF,24,42,57,242,6,1,2,62,1,8,8,0,11.48
23,611,Joe Flacco,QB,4,BAL,PIT,31,49,63,235,5,1,2,65,0,0,0,0,11.40
24,17009,Trevor Siemian,QB,4,DEN,OAK,16,26,62,179,7,1,0,95,4,1,0,0,11.26
25,9038,Matthew Stafford,QB,4,DET,MIN,19,31,61,209,7,0,0,81,3,-3,-1,0,10.06
26,16311,Derek Carr,QB,4,OAK,DEN,10,18,56,143,8,1,0,100,0,0,0,0,9.72
27,15694,Case Keenum,QB,4,MIN,DET,16,30,53,219,7,0,0,77,0,0,0,0,8.76
28,15201,Mike Glennon,QB,4,CHI,GB,21,33,64,218,7,1,2,67,1,0,0,0,8.72
29,8358,Brian Hoyer,QB,4,SF,ARI,24,49,49,234,5,0,1,54,1,3,3,0,8.66
30,5282,Josh McCown,QB,4,NYJ,JAX,22,31,71,224,7,0,1,78,1,0,0,0,6.96
31,8972,Jay Cutler,QB,4,MIA,NO,20,28,71,164,6,0,1,71,1,5,5,0,6.06
32,18868,Deshone Kizer,QB,4,CLE,CIN,16,34,47,118,4,0,1,44,5,10,2,0,4.72
33,14868,EJ Manuel,QB,4,OAK,DEN,11,17,65,106,6,0,1,57,0,0,0,0,3.24
34,18079,Kevin Hogan,QB,4,CLE,CIN,5,8,63,65,8,0,0,88,0,0,0,0,2.60
35,11422,Joe Webb,QB,4,BUF,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0
36,16116,AJ McCarron,QB,4,CIN,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0
37,16211,Tom Savage,QB,4,HOU,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0
38,16907,Brett Hundley,QB,4,GB,CHI,1,1,100,0,0,0,0,79,0,0,0,0,0
39,18973,CJ Beathard,QB,4,SF,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8723,Matt Cassel,QB,4,TEN,HOU,4,10,40,21,2,0,2,8,0,0,0,0,-2.16
