Rk,ID,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,3061,Marcedes Lewis,TE,3,JAX,BAL,5,4,80,62,3,30,12,16,0,0,0,0,0,28.20
2,10974,Rob Gronkowski,TE,3,NE,HOU,10,8,80,89,1,22,9,11,0,0,0,1,0,22.90
3,14856,Zach Ertz,TE,3,PHI,NYG,10,8,80,55,1,12,6,7,0,0,0,1,1,18.50
4,14985,Ryan Griffin,TE,3,HOU,NE,6,5,83,61,1,35,10,12,0,0,0,0,0,17.10
5,5084,Vernon Davis,TE,3,WAS,OAK,5,5,100,58,1,26,12,12,0,0,0,0,0,16.80
6,12751,Charles Clay,TE,3,BUF,DEN,6,6,100,39,1,10,7,7,0,0,0,0,0,15.90
7,15263,Luke Willson,TE,3,SEA,TEN,4,3,75,53,1,27,13,18,0,0,0,0,0,14.30
8,8534,Jared Cook,TE,3,OAK,WAS,6,4,67,43,1,21,7,11,0,0,0,0,0,14.30
9,11488,Jimmy Graham,TE,3,SEA,TEN,11,7,64,72,0,26,7,10,0,0,0,0,0,14.20
10,16593,Cameron Brate,TE,3,TB,MIN,4,4,100,33,1,18,8,8,0,0,0,0,0,13.30
11,13386,Lance Kendricks,TE,3,GB,CIN,3,2,67,52,1,51,17,26,0,0,0,0,0,13.20
12,11756,Benjamin Watson,TE,3,BAL,JAX,3,3,100,12,1,6,4,4,0,0,0,0,0,10.20
13,11026,Jermaine Gresham,TE,3,ARI,DAL,9,5,56,47,0,20,5,9,0,0,0,0,0,9.70
14,18912,Evan Engram,TE,3,NYG,PHI,7,5,71,45,0,14,6,9,0,0,0,0,0,9.50
15,18990,Jonnu Smith,TE,3,TEN,SEA,2,1,50,24,1,24,12,24,0,0,0,0,0,9.40
16,18876,David Njoku,TE,3,CLE,IND,4,2,50,12,1,11,3,6,0,0,0,0,0,9.20
17,16608,Austin Seferian-Jenkins,TE,3,NYJ,MIA,6,5,83,31,0,13,5,6,0,0,0,0,0,8.10
18,18931,Adam Shaheen,TE,3,CHI,PIT,1,1,100,2,1,2,2,2,0,0,0,0,0,7.20
19,14496,Garrett Celek,TE,3,SF,LAR,2,1,50,1,1,1,1,1,0,0,0,0,0,7.10
20,7175,Delanie Walker,TE,3,TEN,SEA,6,4,67,31,0,11,5,8,0,0,0,0,0,7.10
21,16846,Tyler Kroft,TE,3,CIN,GB,4,3,75,28,0,14,7,9,0,0,0,0,0,5.80
22,7884,Antonio Gates,TE,3,LAC,KC,5,2,40,30,0,16,6,15,0,0,0,0,0,5
23,18057,Seth DeValve,TE,3,CLE,IND,5,2,40,29,0,20,6,15,0,0,0,0,0,4.90
24,13016,Virgil Green,TE,3,DEN,BUF,3,3,100,18,0,14,6,6,0,0,0,0,0,4.80
25,13027,Julius Thomas,TE,3,MIA,NYJ,5,3,60,16,0,7,3,5,0,0,0,0,0,4.60
26,1181,Martellus Bennett,TE,3,GB,CIN,4,3,75,12,0,6,3,4,0,0,0,0,0,4.20
27,16954,Nick O'Leary,TE,3,BUF,DEN,1,1,100,31,0,31,31,31,0,0,0,0,0,4.10
28,16920,Jesse James,TE,3,PIT,CHI,4,2,50,19,0,14,5,10,0,0,0,0,0,3.90
29,16931,Nick Boyle,TE,3,BAL,JAX,2,2,100,14,0,7,7,7,0,0,0,0,0,3.40
30,13997,Coby Fleener,TE,3,NO,CAR,1,1,100,21,0,21,21,21,0,0,0,0,0,3.10
31,19281,Jacob Hollister,TE,3,NE,HOU,1,1,100,19,0,19,19,19,0,0,0,0,0,2.90
32,16451,Eric Ebron,TE,3,DET,ATL,7,2,29,9,0,8,1,5,0,0,0,0,0,2.90
33,15640,Derek Carrier,TE,3,LAR,SF,1,1,100,17,0,17,17,17,0,0,0,0,0,2.70
34,12415,Zach Miller,TE,3,CHI,PIT,3,1,33,17,0,17,6,17,0,0,0,0,0,2.70
35,15965,Trey Burton,TE,3,PHI,NYG,3,2,67,7,0,8,2,4,0,0,0,0,0,2.70
36,15602,Jack Doyle,TE,3,IND,CLE,5,2,40,16,0,11,3,8,0,0,0,1,1,2.60
37,18262,Stephen Anderson,TE,3,HOU,NE,3,1,33,14,0,14,5,14,0,0,0,0,0,2.40
38,16933,James O'Shaughnessy,TE,3,JAX,BAL,1,1,100,12,0,12,12,12,0,0,0,0,0,2.20
39,18901,OJ Howard,TE,3,TB,MIN,1,1,100,12,0,12,12,12,0,0,0,0,0,2.20
40,16648,Troy Niklas,TE,3,ARI,DAL,1,1,100,10,0,10,10,10,0,0,0,0,0,2
41,17963,Austin Hooper,TE,3,ATL,DET,2,1,50,9,0,9,5,9,0,0,0,0,0,1.90
42,12153,Ed Dickson,TE,3,CAR,NO,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80
43,19063,George Kittle,TE,3,SF,LAR,3,1,33,8,0,8,3,8,0,0,0,0,0,1.80
44,15247,Darren Fells,TE,3,DET,ATL,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80
45,15561,Brandon Williams,TE,3,IND,CLE,1,1,100,7,0,7,7,7,0,0,0,0,0,1.70
46,19176,Darrell Daniels,TE,3,IND,CLE,1,1,100,6,0,6,6,6,0,0,0,0,0,1.60
47,16962,AJ Derby,TE,3,DEN,BUF,2,1,50,5,0,5,3,5,0,0,0,0,0,1.50
48,13275,Kyle Rudolph,TE,3,MIN,TB,2,1,50,4,0,4,2,4,0,0,0,0,0,1.40
49,18032,Tyler Higbee,TE,3,LAR,SF,3,1,33,4,0,4,1,4,0,0,0,0,0,1.40
50,16958,Randall Telfer,TE,3,CLE,IND,1,1,100,4,0,4,4,4,0,0,0,0,0,1.40
51,722,Jason Witten,TE,3,DAL,ARI,4,1,25,3,0,3,1,3,0,0,0,0,0,1.30
52,15866,Josh Hill,TE,3,NO,CAR,1,1,100,3,0,3,3,3,0,0,0,0,0,1.30
53,15937,Phillip Supernaw,TE,3,TEN,SEA,1,1,100,3,0,3,3,3,0,0,0,0,0,1.30
54,15048,Travis Kelce,TE,3,KC,LAC,1,1,100,1,0,1,1,1,0,0,0,0,0,1.10
55,16829,Clive Walford,TE,3,OAK,WAS,1,1,100,-1,0,-1,-1,-1,0,0,0,0,0,0.90
56,13170,Niles Paul,TE,3,WAS,OAK,1,1,100,-3,0,-3,-3,-3,0,0,0,0,0,0.70
57,16111,Ryan Hewitt,TE,3,CIN,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,19010,Michael Roberts,TE,3,DET,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,16988,Ben Koyack,TE,3,JAX,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,14152,James Hanna,TE,3,DAL,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,15305,Demetrius Harris,TE,3,KC,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,12777,Lee Smith,TE,3,OAK,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,15239,Vance McDonald,TE,3,PIT,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,15378,Levine Toilolo,TE,3,ATL,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,13987,Dwayne Allen,TE,3,NE,HOU,2,0,0,0,0,0,0,0,0,0,0,0,0,0
66,18019,Nick Vannett,TE,3,SEA,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,16917,CJ Uzomah,TE,3,CIN,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,19067,Jeremy Sprinkle,TE,3,WAS,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,11345,Logan Paulsen,TE,3,SF,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5511,Brent Celek,TE,3,PHI,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,15371,MarQueis Gray,TE,3,MIA,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,14445,Rhett Ellison,TE,3,NYG,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,16853,Jeff Heuerman,TE,3,DEN,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,16491,Richard Rodgers,TE,3,GB,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,19219,Cethan Carter,TE,3,CIN,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,17975,Hunter Henry,TE,3,LAC,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,18935,Gerald Everett,TE,3,LAR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,16395,Xavier Grimble,TE,3,PIT,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,18101,Jerell Adams,TE,3,NYG,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,14820,Sean McGrath,TE,3,LAC,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,16878,Blake Bell,TE,3,MIN,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,18105,David Morgan,TE,3,MIN,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,19599,Trey Edmunds,TE,3,NO,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,17005,Geoff Swaim,TE,3,DAL,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,14876,Dion Sims,TE,3,CHI,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,11535,Michael Hoomanawanui,TE,3,NO,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,13370,Luke Stocker,TE,3,TB,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,17754,Will Tye,TE,3,NYJ,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,17762,Chris Manhertz,TE,3,CAR,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1545,Anthony Fasano,TE,3,MIA,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,19035,Eric Saubert,TE,3,ATL,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,16656,Logan Thomas,TE,3,BUF,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,17750,Ross Travis,TE,3,KC,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
