Rk,ID,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,12845,AJ Green,WR,5,CIN,BUF,13,7,54,189,1,77,15,27,0,0,0,1,1,33.90
2,11056,Antonio Brown,WR,5,PIT,JAX,19,10,53,157,0,49,8,16,0,0,0,0,0,28.70
3,14005,TY Hilton,WR,5,IND,SF,9,7,78,177,0,63,20,25,0,0,0,0,0,27.70
4,14986,DeAndre Hopkins,WR,5,HOU,KC,12,4,33,52,3,34,4,13,0,0,0,0,0,27.20
5,16470,Davante Adams,WR,5,GB,DAL,11,7,64,66,2,14,6,9,0,0,0,0,0,25.60
6,16389,Odell Beckham Jr,WR,5,NYG,LAC,8,5,63,97,1,48,12,19,1,8,0,0,0,21.50
7,14828,Chris Hogan,WR,5,NE,TB,11,8,73,74,1,19,7,9,0,0,0,0,0,21.40
8,17916,Will Fuller,WR,5,HOU,KC,3,2,67,57,2,48,19,29,1,5,0,0,0,20.20
9,9331,Michael Crabtree,WR,5,OAK,BAL,8,6,75,82,1,41,10,14,0,0,0,0,0,20.20
10,14865,Marquise Goodwin,WR,5,SF,IND,11,5,46,116,0,51,11,23,0,0,0,0,0,19.60
11,16781,Nelson Agholor,WR,5,PHI,ARI,5,4,80,93,1,72,19,23,0,0,0,0,0,19.30
12,8529,Mike Wallace,WR,5,BAL,OAK,3,3,100,133,0,54,44,44,0,0,0,0,0,19.30
13,3943,DeSean Jackson,WR,5,TB,NE,9,5,56,106,0,41,12,21,0,0,0,0,0,18.60
14,14141,Cole Beasley,WR,5,DAL,GB,6,4,67,23,2,12,4,6,0,0,0,0,0,18.30
15,16802,Devin Funchess,WR,5,CAR,DET,8,7,88,53,1,15,7,8,0,0,0,0,0,18.30
16,6767,Pierre Garcon,WR,5,SF,IND,11,8,73,94,0,25,9,12,0,0,0,0,0,17.40
17,18082,Tyreek Hill,WR,5,KC,HOU,6,4,67,68,0,38,11,17,0,0,0,0,0,16.80
18,11270,Dez Bryant,WR,5,DAL,GB,8,5,63,52,1,15,7,10,0,0,0,0,0,16.20
19,16550,Kelvin Benjamin,WR,5,CAR,DET,6,4,67,58,1,31,10,15,0,0,0,0,0,15.80
20,12830,Torrey Smith,WR,5,PHI,ARI,4,3,75,70,1,59,18,23,1,-3,0,0,0,15.70
