"Jacoby Brissett",4800,IND,QB,CLE,19.98,9.62,14.8
"Russell Wilson",6300,SEA,QB,TEN,24.2784,9.4416,16.86
"Marcus Mariota",6000,TEN,QB,SEA,25.92,8.64,17.28
"DeShone Kizer",5000,CLE,QB,IND,22.218,9.522,15.87
"Tom Brady",7700,NEP,QB,HOU,28.3727,13.0473,20.71
"Matthew Stafford",6200,DET,QB,ATL,24.678,11.882,18.28
"Deshaun Watson",4700,HOU,QB,NEP,17.696,7.584,12.64
"Alex Smith",5900,KCC,QB,LAC,24.0992,11.3408,17.72
"Philip Rivers",6400,LAC,QB,KCC,21.2979,12.2421,16.77
"Dak Prescott",5900,DAL,QB,ARI,26.53,11.37,18.95
"Carson Palmer",6100,ARI,QB,DAL,23.52,10.08,16.8
"Kirk Cousins",6100,WAS,QB,OAK,26.894,11.526,19.21
"Derek Carr",6800,OAK,QB,WAS,28.714,12.306,20.51
"Andy Dalton",5100,CIN,QB,GBP,23.016,9.864,16.44
"Aaron Rodgers",7700,GBP,QB,CIN,31.668,13.572,22.62
"Matt Ryan",7100,ATL,QB,DET,25.4868,12.5532,19.02
"Carson Wentz",5900,PHI,QB,NYG,23.124,14.476,18.8
"Cam Newton",6600,CAR,QB,NOS,26.0568,13.4232,19.74
"Jameis Winston",6000,TBB,QB,MIN,22.6594,11.1606,16.91
"Drew Brees",7200,NOS,QB,CAR,26.3495,8.5505,17.45
"Blake Bortles",4400,JAC,QB,BAL,15.2192,3.3408,9.28
"Brian Hoyer",4800,SFO,QB,LAR,22.6756,4.6444,13.66
"Joe Flacco",5300,BAL,QB,JAC,19.035,7.965,13.5
"Case Keenum",4500,MIN,QB,TBB,20.3435,7.7165,14.03
"Trevor Siemian",5500,DEN,QB,BUF,23.867,9.053,16.46
"Josh McCown",4500,NYJ,QB,MIA,20.584,4.216,12.4
"Eli Manning",5300,NYG,QB,PHI,20.7111,10.9089,15.81
"Jay Cutler",6100,MIA,QB,NYJ,21.861,12.839,17.35
"Mike Glennon",4700,CHI,QB,PIT,20.65,8.85,14.75
"Tyrod Taylor",4900,BUF,QB,DEN,20.184,7.656,13.92
"Ben Roethlisberger",6200,PIT,QB,CHI,28.0865,10.6535,19.37
"Jared Goff",5200,LAR,QB,SFO,20.6529,11.3671,16.01
