"Frank Gore",4200,IND,RB,CLE,17.3831,8.7569,13.07
"Matthew Dayes",3000,CLE,RB,IND,1.722,0.738,1.23
"Duke Johnson",4200,CLE,RB,IND,16.856,7.224,12.04
"Isaiah Crowell",4800,CLE,RB,IND,19.2129,6.9271,13.07
"Robert Turbin",3700,IND,RB,CLE,8.8,0,4.4
"Chris Carson",4900,SEA,RB,TEN,15.512,6.648,11.08
"DeMarco Murray",5500,TEN,RB,SEA,15.8994,5.8806,10.89
"C.J. Prosise",3700,SEA,RB,TEN,13.88,0,6.94
"Thomas Rawls",4000,SEA,RB,TEN,11.44,0,5.72
"Dion Lewis",3400,NEP,RB,HOU,8.3654,2.7146,5.54
"James White",5400,NEP,RB,HOU,17.3156,6.4044,11.86
"Theo Riddick",5100,DET,RB,ATL,20.066,5.334,12.7
"Ameer Abdullah",4700,DET,RB,ATL,25.575,1.925,13.75
"Tevin Coleman",5300,ATL,RB,DET,20.8086,5.5314,13.17
"Devonta Freeman",6700,ATL,RB,DET,25.4745,7.8255,16.65
"Zach Zenner",3300,DET,RB,ATL,2.0445,0.7755,1.41
"Lamar Miller",5000,HOU,RB,NEP,19.988,6.312,13.15
"Mike Gillislee",5700,NEP,RB,HOU,19.6416,7.6384,13.64
"Tyler Ervin",3000,HOU,RB,NEP,7.4354,5.7246,6.58
"D'Onta Foreman",4000,HOU,RB,NEP,9.541,3.619,6.58
"Derrick Henry",5300,TEN,RB,SEA,18.9111,3.4689,11.19
"Kareem Hunt",8000,KCC,RB,LAC,32.4075,12.2925,22.35
"Chris Thompson",4500,WAS,RB,OAK,14.98,6.42,10.7
"Samaje Perine",4500,WAS,RB,OAK,16.156,6.924,11.54
"Jalen Richard",4100,OAK,RB,WAS,6.958,2.982,4.97
"DeAndre Washington",4000,OAK,RB,WAS,9.016,3.864,6.44
"Ezekiel Elliott",8500,DAL,RB,ARI,31.248,13.392,22.32
"Alfred Morris",3200,DAL,RB,ARI,2.1,0.9,1.5
"Kerwynn Williams",3300,ARI,RB,DAL,8.848,3.792,6.32
"Andre Ellington",3400,ARI,RB,DAL,11.144,4.776,7.96
"Chris Johnson",3800,ARI,RB,DAL,8.946,3.834,6.39
"Marshawn Lynch",6000,OAK,RB,WAS,21.056,9.024,15.04
"Aaron Jones",3000,GBP,RB,CIN,0.518,0.222,0.37
"Branden Oliver",4000,LAC,RB,KCC,4.242,1.818,3.03
"Melvin Gordon",7600,LAC,RB,KCC,28.8002,11.4798,20.14
"Charcandrick West",4000,KCC,RB,LAC,8.46,0,4.23
