"Jack Doyle",3600,IND,TE,CLE,17.4274,4.6326,11.03
"Seth DeValve",2600,CLE,TE,IND,9.1168,2.7232,5.92
"Brandon Williams",2500,IND,TE,CLE,2.1267,0.9333,1.53
"Jimmy Graham",4600,SEA,TE,TEN,17.3135,5.0265,11.17
"Delanie Walker",4400,TEN,TE,SEA,20.572,7.228,13.9
"Luke Willson",2600,SEA,TE,TEN,2.28,0,1.14
"David Njoku",2800,CLE,TE,IND,6.188,2.652,4.42
"Dwayne Allen",2500,NEP,TE,HOU,2.54,0,1.27
"Eric Ebron",3300,DET,TE,ATL,13.4799,4.8601,9.17
"Levine Toilolo",2500,ATL,TE,DET,3.22,0,1.61
"Darren Fells",2500,DET,TE,ATL,2.24,0,1.12
"Ryan Griffin",3000,HOU,TE,NEP,10.0152,2.8248,6.42
"Rob Gronkowski",6800,NEP,TE,HOU,24.5532,6.5268,15.54
"Stephen Anderson",2900,HOU,TE,NEP,3.06,0,1.53
"Jonnu Smith",2600,TEN,TE,SEA,1.134,0.486,0.81
"Travis Kelce",6000,KCC,TE,LAC,22.1125,8.3875,15.25
"Lee Smith",2500,OAK,TE,WAS,1.428,0.612,1.02
"Jared Cook",3100,OAK,TE,WAS,12.362,5.298,8.83
"Vernon Davis",3000,WAS,TE,OAK,9.31,3.99,6.65
"Jason Witten",4900,DAL,TE,ARI,16.828,7.212,12.02
"Troy Niklas",2500,ARI,TE,DAL,2.268,0.972,1.62
"Jermaine Gresham",2800,ARI,TE,DAL,8.176,3.504,5.84
"C.J. Uzomah",2500,CIN,TE,GBP,3.99,1.33,2.66
"Lance Kendricks",2500,GBP,TE,CIN,3.71,1.59,2.65
"Hunter Henry",3900,LAC,TE,KCC,12.334,5.286,8.81
"Demetrius Harris",2600,KCC,TE,LAC,3.16,0,1.58
"Antonio Gates",3000,LAC,TE,KCC,9.744,4.176,6.96
"Tyler Kroft",2500,CIN,TE,GBP,6.608,2.832,4.72
"Martellus Bennett",4100,GBP,TE,CIN,15.904,6.816,11.36
"Austin Hooper",3800,ATL,TE,DET,11.407,2.013,6.71
"Brent Celek",2500,PHI,TE,NYG,3.04,0,1.52
"Ed Dickson",2700,CAR,TE,NOS,8.5988,3.0212,5.81
"Josh Hill",2500,NOS,TE,CAR,3.78,0,1.89
"Cameron Brate",3000,TBB,TE,MIN,12.3876,0.9324,6.66
"O.J. Howard",2700,TBB,TE,MIN,4.886,2.094,3.49
"David Morgan",2500,MIN,TE,TBB,0.6432,0.3168,0.48
"Kyle Rudolph",4200,MIN,TE,TBB,14.4096,3.8304,9.12
"Coby Fleener",4100,NOS,TE,CAR,14.2578,1.7622,8.01
"Ben Koyack",2500,JAC,TE,BAL,1.736,0.744,1.24
"George Kittle",2500,SFO,TE,LAR,7.126,3.054,5.09
"Gerald Everett",2500,LAR,TE,SFO,,,5.83
"Garrett Celek",2500,SFO,TE,LAR,5.06,0,2.53
"Benjamin Watson",3700,BAL,TE,JAC,8.26,3.54,5.9
"Marcedes Lewis",2500,JAC,TE,BAL,7.6884,2.6316,5.16
"Nick Boyle",2500,BAL,TE,JAC,1.764,0.756,1.26
"Virgil Green",2700,DEN,TE,BUF,8.4552,2.3848,5.42
"Jeff Heuerman",2500,DEN,TE,BUF,4.9926,1.3674,3.18
"Austin Seferian-Jenkins",3000,NYJ,TE,MIA,9.898,4.242,7.07
"Anthony Fasano",2500,MIA,TE,NYJ,3.18,0,1.59
"Will Tye",2600,NYJ,TE,MIA,4.872,2.088,3.48
"Evan Engram",3200,NYG,TE,PHI,11.648,4.992,8.32
"Zach Ertz",5000,PHI,TE,NYG,22.3096,5.9304,14.12
"Rhett Ellison",2500,NYG,TE,PHI,4.04,0,2.02
"Julius Thomas",3000,MIA,TE,NYJ,11.7849,2.6751,7.23
"Dion Sims",2500,CHI,TE,PIT,5.42,0,2.71
"Nick O'Leary",2500,BUF,TE,DEN,1.8,0,0.9
"Charles Clay",3400,BUF,TE,DEN,14.0624,0.9776,7.52
"Jesse James",3300,PIT,TE,CHI,11.2726,3.0874,7.18
"Vance McDonald",2800,PIT,TE,CHI,2.56,0,1.28
"Zach Miller",3100,CHI,TE,PIT,15.708,3.332,9.52
"Tyler Higbee",2500,LAR,TE,SFO,7.4074,2.9526,5.18
